1	H	1.0079	
2	He	4.0026
3	Li	6.941
4	Be	9.0122
5	B	10.811
6	C	12.0107
7	N	14.0067
8	O	15.9994
9	F	18.9984
10	Ne	20.1797
11	Na	22.9897
12	Mg	24.305
13	Al	26.915
14	Si	28.0855
15	P	30.9739
16	S	32.065
17	Cl	35.453
18	Ar	39.948
19	K	39.0983
20	Ca	40.078
21	Sc	44.9559
22	Ti	47.867
23	V	50.9415
24	Cr	51.9961
25	Mn	54.938
26	Fe	55.845
27	Co	58.9332
28	Ni	58.6934
29	Cu	63.546
30	Zn	65.39
31	Ga	0
32	Ge	0
33	As	0
34	Se	0
35	Br	0
36	Kr	0
37	Rb	0
38	Sr	0
39	Y	0
40	Zr	0
41	Nb	0
42	Mo	0
43	Tc	0
44	Ru	0
45	Rh	0
46	Pd	0
47	Ag	0
48	Cd	0
49	In	0
50	Sn	0
51	Sb	0
52	Te	0
53	I	0
54	Xe	0
55	Cs	0
56	Ba	0
57	La	0
58	Ce	0
59	Pr	0
60	Nd	0
61	Pm	0
62	Sm	0
63	Eu	0
64	Gd	0
65	Tb	0
66	Dy	0
67	Ho	0
68	Er	0
69	Tm	0
70	Yb	0
71	Lu	0
72	Hf	0
73	Ta	0
74	W	0
75	Re	0
76	Os	0
77	Ir	0
78	Pt	0
79	Au	0
80	Hg	0
81	Tl	0
82	Pb	0
83	Bi	0
84	Po	0
85	At	0
86	Rn	0
87	Fr	0
88	Ra	0
89	Ac	0
90	Th	0
91	Pa	0
92	U	0
93	Np	0
94	Pu	0
95	Am	0
96	Cm	0
97	Bk	0
98	Cf	0
99	Es	0
100	Fm	0
101	Md	0
102	No	0
103	Lr	0
104	Rf	0
105	Db	0
106	Sg	0
107	Bh	0
108	Hs	0
109	Mt	0
110	Ds	0
111	Rg	0
112	Cn	0
113	Uut	0
114	Uuq	0
115	Uup	0
116	Uuh	0
117	Uus	0
118	Uuo	0
